number,polarity
0,1.0
1,0.05
2,0.258333333333
3,0.136666666667
4,0.0
5,0.217708333333
6,0.0
7,0.00714285714286
8,0.25
9,0.0903409090909
10,-0.125
11,0.0619047619048
12,0.106060606061
13,-0.0486111111111
14,-0.5
15,0.0
16,-0.0733333333333
17,0.15
18,0.375
19,-0.175
20,-0.35
21,0.0628571428571
22,0.0833333333333
23,-0.6
24,0.1
25,0.275
26,0.05
27,-0.3
28,0.4
29,0.1
30,-0.2
31,-0.25
32,-0.286666666667
33,0.00833333333333
34,-0.25
35,-0.075
36,0.0
37,-0.247916666667
38,-0.41875
39,-0.158333333333
40,-0.0833333333333
41,-0.0216666666667
42,1.85037170771e-17
43,0.0
44,0.211904761905
45,0.244444444444
46,0.105337519623
47,0.1
48,0.1
49,0.15
50,0.0375
51,0.35
52,0.05
53,0.0666666666667
54,-0.025
55,0.6
56,-0.5
57,-0.181818181818
58,-0.15
59,0.107142857143
60,0.191666666667
61,-0.0555555555556
62,-0.5
63,0.15
64,0.05
65,0.25
66,-0.2
67,0.0242424242424
68,0.0340909090909
69,0.3
70,0.0
71,-0.0333333333333
72,0.0
73,-0.15
74,0.0
75,-0.141666666667
76,-0.075
77,0.0
78,0.0861111111111
79,0.292857142857
80,-0.103571428571
81,-0.040625
82,0.1375
83,0.0672727272727
84,-0.0625
85,0.1
86,-0.0642857142857
87,-0.166666666667
88,0.05
89,0.0465909090909
90,0.418181818182
91,0.0
92,-0.00952380952381
93,-0.141666666667
94,0.0
95,0.136111111111
96,0.128787878788
97,0.4
98,0.35
99,-0.425
100,0.15
101,0.0
102,0.343181818182
103,-0.15
104,0.0
105,0.0
106,0.304166666667
107,0.0
108,0.0
109,-0.1875
110,0.386616161616
111,0.8
112,-0.351488095238
113,0.0
114,-0.025
115,-0.155555555556
116,0.0
117,0.0
118,0.3
119,-0.633333333333
120,0.116666666667
121,0.25
122,-0.5
123,-0.15
124,0.106802721088
125,0.148295454545
126,0.0
127,0.2
128,-0.0877976190476
129,0.101041666667
130,-0.175
131,0.3
132,0.1
133,-0.175
134,-0.075
135,0.254166666667
136,0.156666666667
137,0.123333333333
138,0.5
139,0.104166666667
140,0.00714285714286
141,0.0
142,0.0
143,0.2
144,0.125
145,0.04
146,0.2
147,0.154166666667
148,0.08
149,0.166666666667
150,0.214285714286
151,-0.25
152,-0.185714285714
153,-0.222222222222
154,-0.025
155,0.00284090909091
156,-0.155555555556
157,0.2
158,-0.15625
159,0.0472222222222
160,0.177777777778
161,0.0333333333333
162,0.172272727273
163,0.133333333333
164,0.1
165,-0.0416666666667
166,-0.25
167,0.0
168,0.0
169,0.15
170,-0.0357142857143
171,0.0
172,0.075
173,-0.05
174,-0.137662337662
175,0.0
176,-0.1125
177,0.2
178,-0.0722222222222
179,-0.25
180,0.5
181,-0.0777777777778
182,0.0
183,0.133333333333
184,0.25
185,0.0142857142857
186,-0.0704761904762
187,0.366666666667
188,0.175
189,0.0
190,0.0
191,0.0
192,0.1135
193,-0.166666666667
194,0.0
195,0.347619047619
196,-0.25
197,0.168928571429
198,0.05
199,0.075
200,0.147321428571
201,0.125
202,0.062037037037
203,-0.316666666667
204,0.2
205,0.0
206,-0.1
207,0.0628571428571
208,0.05
209,0.0285714285714
210,-0.075
211,-0.166666666667
212,0.111111111111
213,0.0
214,-0.204444444444
215,0.14
216,-0.125
217,-0.05
218,0.3
219,-4.62592926927e-18
220,-0.0777777777778
221,0.125
222,-0.0174242424242
223,-0.0893696581197
224,0.5
225,0.0
226,0.0729166666667
227,0.1375
228,0.4
229,-0.166666666667
230,-0.103333333333
231,0.45
232,0.2
233,0.133333333333
234,0.0
235,0.220833333333
236,0.1
237,-0.0833333333333
238,0.15625
239,0.17
240,-0.1625
241,0.4375
242,0.25
243,0.0
244,-0.288888888889
245,0.322857142857
246,0.0944444444444
247,0.05
248,-0.05625
249,0.0
250,0.133333333333
251,0.233333333333
252,0.0
253,-0.1
254,0.355555555556
255,0.0511904761905
256,0.1
257,0.0416666666667
258,0.5
259,-0.441666666667
260,-0.3
261,-0.133333333333
262,0.0
263,-0.4
264,-0.4
265,-0.238888888889
266,0.0333333333333
267,0.0333333333333
268,-0.2
269,0.0
270,-0.625
271,-0.25
272,-0.333333333333
273,0.0
274,0.0
275,-0.0888888888889
276,0.02
277,0.0
278,-0.00833333333333
279,0.03125
280,-0.341666666667
281,0.166666666667
282,0.0
283,0.0666666666667
284,0.0
285,0.0
286,-0.0685185185185
287,-0.55
288,-0.107142857143
289,0.0
290,0.0
291,0.0
292,0.0
293,-0.166666666667
294,0.0481481481481
295,0.1
296,0.238095238095
297,-0.05
298,-0.0333333333333
299,0.0
300,0.0
301,0.5
302,0.2
303,-0.0423611111111
304,-0.0555555555556
305,-0.175
306,0.214285714286
307,-0.583333333333
308,-0.025
309,0.162962962963
310,0.01875
311,-0.2
312,0.0
313,0.0
314,0.45
315,0.6
316,0.0
317,0.0
318,0.133333333333
319,-0.138425925926
320,0.0
321,-0.4
322,0.0833333333333
323,-1.0
324,-0.216666666667
325,0.127777777778
326,0.0
327,0.127777777778
328,0.0
329,0.207407407407
330,-0.102
331,-0.285185185185
332,0.05
